"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.4,3,2.5,0.5,0.5,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,154790.774132103,877.498719569742
0.4,3,2.5,0.5,0.6,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,371497.857917046,2105.99692696738
0.4,3,2.5,0.5,0.6,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,185748.928958523,1052.99846348369
0.4,3,2.5,0.5,0.7,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,433414.167569887,2456.99641479528
0.4,3,2.5,0.5,0.7,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,216707.083784944,1228.49820739764
0.4,3,2.5,0.5,0.8,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,495330.477222728,2807.99590262318
0.4,3,2.5,0.5,0.8,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,247665.238611364,1403.99795131159
0.4,3,2.5,0.5,0.9,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,557246.786875569,3158.99539045107
0.4,3,2.5,0.5,0.9,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,278623.393437785,1579.49769522554
0.4,3,2.5,0.7,0.1,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,86682.8335139774,514.255063561802
0.4,3,2.5,0.7,0.1,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,43341.4167569887,257.127531780901
0.4,3,2.5,0.7,0.2,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,173365.667027955,1028.5101271236
0.4,3,2.5,0.7,0.2,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,86682.8335139774,514.255063561802
0.4,3,2.5,0.7,0.3,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,260048.500541932,1542.76519068541
